BlendProperty,Model,MAPE
BlendProperty10,HGBR,14.880606508830462
BlendProperty10,CatBoost,15.000907817248562
BlendProperty10,SVR_RBF,14.796156392533247
BlendProperty10,SVR_Poly,14.773186240692104
BlendProperty10,BayesianRidge,14.318914848427518
BlendProperty10,KNN,16.191182523855062
BlendProperty10,GaussianProcess,12.964641058192859
BlendProperty10,TheilSen,17.431149141898413
BlendProperty10,RANSAC,13.80278354515291
BlendProperty10,NeuralNet,13.380732929227472
